variant,condition_name,mean_is_correct
base,asch_history_5,0.245
base,authoritative_bias,0.23
base,control,0.26
instruct,asch_history_5,0.245
instruct,authoritative_bias,0.195
instruct,control,0.275
instruct_sft,asch_history_5,0.185
instruct_sft,authoritative_bias,0.19
instruct_sft,control,0.26
rl_zero,asch_history_5,0.055
rl_zero,authoritative_bias,0.03
rl_zero,control,0.07
think,asch_history_5,0.255
think,authoritative_bias,0.235
think,control,0.23
think_sft,asch_history_5,0.295
think_sft,authoritative_bias,0.27
think_sft,control,0.26
